history_id,user_id,plate_text,verified_at,status
1,2,MH49U1048,1758452707306,Unregistered

2,2,MH49U1048,1758452707817,Unregistered

3,2,MH49U1048,1758454132191,Unregistered

4,2,MH49U1048,1758454132257,Unregistered

5,2,MH49U1048,1758455296989,Registered

6,2,MH49U1048,1758455297846,Registered
